Price,Close,High,Low,Open,Volume,Daily Return,Excess Return,3-Day Excess Return
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG,,,
Date,,,,,,,,
2024-01-05,136.8981170654297,138.3130313709,136.3600570579476,137.8566785176243,15433200,-0.004708681857513719,-0.0061140655961639204,-0.019721447394532146
2024-01-08,140.02687072753906,140.13647751170933,137.386364387291,137.50592989578246,17645300,0.022854614286725417,0.021449230548075213,-0.0025992345738583174
2024-01-09,142.04959106445312,142.2887372677432,139.28950421759316,139.5585417957747,19579700,0.014445229879126664,0.013039846140476463,0.028375011092387756
2024-01-10,143.28517150878906,144.00756674748428,141.94997261434466,142.00975537019147,16641900,0.00869823302606565,0.007292849287415448,0.041781925975967124
2024-01-11,143.15562438964844,146.13492493087236,141.7058318214897,144.37624467130036,17471100,-0.0009041209064168942,-0.002309504645067096,0.018023190782824817
2024-01-12,143.7235870361328,144.22179690011865,142.84673281018704,143.8232198864349,13995200,0.003967449053475347,0.002562065314825145,0.0075454099571735005
2024-01-16,143.5641632080078,145.31785654097203,142.54382728921001,142.9164812308532,19198900,-0.0011092391403014767,-0.0025146228789516786,-0.002262062209193626
2024-01-17,142.37841796875,142.89656049773194,140.0069340901008,142.3983506209844,17884500,-0.008259340024430739,-0.00966472376308094,-0.009617281327207471
2024-01-18,144.4709014892578,145.06377244232667,142.83677374742865,142.92644787373524,18876800,0.014696634155375143,0.013291250416724942,0.0011119037746923268
2024-01-19,147.44021606445312,147.50995753343074,145.2779872596324,145.78116884145362,27170900,0.02055302863473929,0.019147644896089087,0.02277417154973309
2024-01-22,147.18118286132812,149.47792331957857,147.05164341538418,148.17760271219467,21829200,-0.001756869394519689,-0.0031622531331698908,0.029276642179644142
2024-01-23,148.14768981933594,148.3270532910163,146.66303403543785,147.19113531757282,14113600,0.006566783465237203,0.005161399726587001,0.0211467914895062
2024-01-24,149.8117218017578,151.0273551642729,149.30353797719988,149.75192384274672,19245000,0.01123225063078026,0.00982686689213006,0.011826013485547173
2024-01-25,153.08993530273438,154.20592059764948,150.6786012452732,151.1967437911235,21495100,0.02188222297661424,0.020476839237964038,0.0354651058566811
2024-01-26,153.23939514160156,153.55825677724079,152.25294926518188,152.3226907453782,19494500,0.0009762878178218859,-0.00042909592082831594,0.02987461020926578
2024-01-29,154.28564453125,154.64435628217598,152.3725202610316,153.08994376288354,20909300,0.006827548416525886,0.0054221646778756846,0.02546990799501141
2024-01-30,152.50205993652344,154.4849256924498,152.22803535733792,153.45861447100043,26578900,-0.011560275747918403,-0.012965659486568604,-0.007972590729521232
2024-01-31,141.29232788085938,145.06875215819224,141.04322293579585,144.86947124297328,43908600,-0.07350544681383275,-0.07491083055248296,-0.08245432536117588
2024-02-01,142.19908142089844,144.10223175163364,141.75068033157373,143.17556860257073,25526900,0.006417570958301866,0.0050121872196516645,-0.0828643028193999
2024-02-02,143.0260772705078,143.36487152419457,137.6753083385205,140.3855711430663,42116900,0.005815760842797113,0.004410377104146912,-0.06548826622868438
2024-02-05,144.41111755371094,146.14489351807975,143.39478028191945,143.5243045199949,29254400,0.009683830456900244,0.008278446718250043,0.017701011042048617
2024-02-06,144.88938903808594,146.21462903442645,144.00257613276426,145.4374229018595,21517700,0.0033118744074334128,0.001906490668783211,0.014595314491180166
2024-02-07,146.1548309326172,146.47369252727088,144.69010799516954,145.5968383461309,21436100,0.00873384795762111,0.007328464218970909,0.01751340160600416
2024-02-08,146.6929168701172,147.08151996460657,145.895778028966,146.44381193251738,18241300,0.003681615818419859,0.002276232079769657,0.011511186967523778
2024-02-09,149.6821746826172,150.1554801411711,146.9021550913949,147.42029761378677,21877700,0.020377656101464803,0.0189722723628146,0.028576968661555166
2024-02-12,148.197509765625,150.05085116638458,148.0281202273602,149.00460735554043,17236100,-0.009918782381003188,-0.01132416611965339,0.009924338322930866
2024-02-13,145.84596252441406,147.50998178033353,144.59047903903283,145.54704874515164,18138500,-0.01586765691899894,-0.017273040657649143,-0.009624934414487933
2024-02-14,146.6132049560547,147.3007370328639,145.03387292424227,146.84237724693804,16651800,0.005260635387916102,0.0038552516492659,-0.024741955128036636
2024-02-15,143.42466735839844,144.24172368204728,141.37204501861007,143.9428099076388,26724300,-0.021747956458710305,-0.023153340197360508,-0.03657112920574375
2024-02-16,141.25245666503906,143.96271957026013,141.01332565844572,143.69369718784262,21849700,-0.015145307521831741,-0.016550691260481944,-0.03584877980857655
2024-02-20,141.6908721923828,142.8158277957992,140.29589075416882,140.43538889799024,18625600,0.00310377276045104,0.0016983890218008383,-0.03800564243604162
2024-02-21,143.32501220703125,143.4645103629072,141.40192940073,142.12931155607185,16499600,0.01153313540500811,0.010127751666357909,-0.004724550572323197
2024-02-22,144.7997283935547,145.67656745304808,143.49440572228687,145.59685204688338,23024700,0.01028931492008689,0.008883931181436688,0.020710071869595434
2024-02-23,144.7698211669922,145.43244882596153,144.27161128380402,144.45097474791444,14519400,-0.00020654200732483918,-0.001611925745975041,0.017399757101819558
2024-02-26,138.25323486328125,143.3250075418804,138.24327613967094,142.93640446286346,33513000,-0.045013430638931595,-0.046418814377581795,-0.03914680894212015
2024-02-27,139.59841918945312,139.98702230085874,138.00414143775035,138.91088709908328,22364000,0.00972985787639713,0.008324474137746929,-0.0397062659858099
2024-02-28,136.93795776367188,138.7813403669397,136.15079285778955,138.60199211148245,30628700,-0.019057962412673546,-0.02046334615132375,-0.05855768639115861
2024-02-29,139.279541015625,139.44893053594961,137.07746204724742,137.85466817775216,35485000,0.017099592327747715,0.01569420858909751,0.0035553365755206963
