Date,Close,High,Low,Open,Volume,Daily Return, Excess Return,3-Day Excess Return
2024-09-03,158.22198486328125,162.98032003061525,157.4688269874829,162.91547660800205,26533100,-0.03936770358984265,-0.04077308732849285,-0.03980559034461656
2024-09-04,157.42393493652344,160.00759516901627,157.05484496658457,157.68828603797215,17410700,-0.005043862440781588,-0.006449246179431789,-0.03816254490912391
2024-09-05,158.21200561523438,160.62109083996646,157.13464591041972,157.39400436434443,14139500,0.005006041038351006,0.003600657299700804,-0.043621676208223825
2024-09-06,151.75784301757812,158.83049480687922,151.563312747768,158.3017925853155,24999100,-0.040794392135780955,-0.042199775874431154,-0.045048364754162136
2024-09-09,149.3705291748047,154.46475576754793,148.0320513690712,153.45590582289756,28057700,-0.015731073895778214,-0.017136457634428417,-0.05573557620915877
2024-09-10,149.83999633789062,152.12740974066355,149.37353031894136,151.2783669028401,20401800,0.0031429704753642707,0.0017375867367140688,-0.0575986467721455
2024-09-11,151.97756958007812,152.30719743582938,148.53148234849232,150.91877326605726,18991500,0.014265705381941274,0.012860321643291072,-0.0025385492544232682
2024-09-12,155.36373901367188,155.43366700723274,153.32605740008628,154.63457050017044,21024100,0.022280718417526435,0.020875334678876232,0.03547324305888138
2024-09-13,158.19053649902344,159.09450976947784,155.93310292862597,156.18481627479954,16733900,0.018194705555475865,0.016789321816825662,0.05052497813899297
2024-09-16,158.80984497070312,159.05956168163425,157.43140384908375,158.1505891958853,14157600,0.0039149527233792725,0.0025095689847290706,0.040174225480430974
2024-09-17,160.09837341308594,161.40688651455386,159.22936415304198,159.9085862777894,12064800,0.008113655942555198,0.0067082722039049966,0.026007163005459737
2024-09-18,160.6277618408203,161.4468399030182,159.47907115910084,160.66772504660898,16756500,0.0033066446363476665,0.0019012608976974646,0.01111910208633154
2024-09-19,163.05502319335938,164.80304010702167,162.33783450864624,164.63323457867423,17548200,0.015111094898679012,0.01370571116002881,0.022315244261631277
2024-09-20,164.45343017578125,164.563306133998,162.99507793413136,164.3335710364531,46362700,0.008576288881107175,0.007170905142456973,0.022777877200183254
2024-09-23,162.88522338867188,166.42120530630135,162.76534900330415,165.15264014819059,15648400,-0.00953587155605784,-0.010941255294708041,0.00993536100777775
2024-09-24,163.45455932617188,164.3635317542462,161.84638320015478,164.06386867184287,18774100,0.003495319745127956,0.0020899360064777542,-0.001680414145773307
2024-09-25,162.8052978515625,164.03089711741433,162.590529915743,162.78531624884735,13607900,-0.003972122143829471,-0.005377505882479672,-0.014228825170709952
2024-09-26,163.64434814453125,165.31245385597128,163.31472027463025,164.84298524503635,18234500,0.005153703866158876,0.0037483201275086745,0.000460750251506764
2024-09-27,165.10269165039062,166.78079585063347,163.64435461360043,163.7242657889928,13604300,0.008911664364792848,0.007506280626142647,0.005877094871171657
2024-09-30,167.00054931640625,167.1703548501229,164.45343582765975,164.59327657551455,14070100,0.011495013479455585,0.010089629740805383,0.02134423049445671
2024-10-01,168.22914123535156,170.24685639829178,165.71199268248043,168.66864505713036,18629500,0.007356813639083137,0.005951429900432936,0.023547340267380975
2024-10-02,167.1204071044922,168.68863534553668,166.0616107019645,167.56989413027304,12745000,-0.006590618740116239,-0.00799600247876644,0.008045057162471886
